DesviacionEstandar,Uniformidad,Entropia,SIFT_0,SIFT_1,SIFT_2,SIFT_3,SIFT_4,SIFT_5,SIFT_6,SIFT_7,SIFT_8,SIFT_9,SIFT_10,SIFT_11,SIFT_12,SIFT_13,SIFT_14,SIFT_15,SIFT_16,SIFT_17,SIFT_18,SIFT_19,SIFT_20,SIFT_21,SIFT_22,SIFT_23,SIFT_24,SIFT_25,SIFT_26,SIFT_27,SIFT_28,SIFT_29,SIFT_30,SIFT_31,SIFT_32,SIFT_33,SIFT_34,SIFT_35,SIFT_36,SIFT_37,SIFT_38,SIFT_39,SIFT_40,SIFT_41,SIFT_42,SIFT_43,SIFT_44,SIFT_45,SIFT_46,SIFT_47,SIFT_48,SIFT_49,SIFT_50,SIFT_51,SIFT_52,SIFT_53,SIFT_54,SIFT_55,SIFT_56,SIFT_57,SIFT_58,SIFT_59,SIFT_60,SIFT_61,SIFT_62,SIFT_63,SIFT_64,SIFT_65,SIFT_66,SIFT_67,SIFT_68,SIFT_69,SIFT_70,SIFT_71,SIFT_72,SIFT_73,SIFT_74,SIFT_75,SIFT_76,SIFT_77,SIFT_78,SIFT_79,SIFT_80,SIFT_81,SIFT_82,SIFT_83,SIFT_84,SIFT_85,SIFT_86,SIFT_87,SIFT_88,SIFT_89,SIFT_90,SIFT_91,SIFT_92,SIFT_93,SIFT_94,SIFT_95,SIFT_96,SIFT_97,SIFT_98,SIFT_99,SIFT_100,SIFT_101,SIFT_102,SIFT_103,SIFT_104,SIFT_105,SIFT_106,SIFT_107,SIFT_108,SIFT_109,SIFT_110,SIFT_111,SIFT_112,SIFT_113,SIFT_114,SIFT_115,SIFT_116,SIFT_117,SIFT_118,SIFT_119,SIFT_120,SIFT_121,SIFT_122,SIFT_123,SIFT_124,SIFT_125,SIFT_126,SIFT_127,Clase
0.000379986,0.009477937,13.33651394,0,0,0,0,0,0,0,0,130,1,0,0,0,0,0,11,160,21,4,0,0,1,6,55,18,11,17,3,2,26,20,9,0,0,0,0,0,0,0,0,158,12,0,0,0,0,0,4,160,125,34,0,0,1,2,15,10,45,148,3,1,5,3,1,0,0,0,0,0,0,0,0,155,5,0,0,0,0,0,18,160,38,5,0,0,11,25,94,9,10,30,3,2,78,34,10,0,0,0,0,0,0,0,0,127,8,0,0,0,0,0,4,160,76,4,0,0,3,2,8,16,43,14,1,4,49,5,1,1
0.001340478,0.11777561,10.00807473,1,0,0,0,0,0,0,1,39,2,0,0,0,0,18,75,24,5,7,3,0,1,123,123,40,6,35,8,0,0,118,123,2,1,0,0,0,0,0,1,123,80,2,0,0,0,3,37,97,123,116,37,1,7,64,78,2,7,123,84,5,27,45,24,1,0,0,0,0,0,0,0,123,27,0,0,0,0,0,14,123,44,11,9,12,18,28,87,14,2,7,30,44,74,42,24,0,0,0,0,0,0,0,0,69,31,0,0,0,0,0,1,123,112,0,3,10,11,2,4,45,16,1,11,43,48,10,29,1
0.002764068,0.500715066,4.54267415,53,31,1,1,125,54,0,0,125,86,2,1,70,48,1,1,4,2,1,0,125,81,0,0,0,0,0,0,2,1,0,0,51,25,3,17,125,90,1,2,125,57,9,6,64,36,3,12,28,6,9,17,125,104,2,4,0,0,0,1,22,6,0,0,32,22,29,63,125,30,0,6,86,103,118,34,47,9,0,3,8,21,125,108,105,11,0,1,0,0,1,13,19,2,0,0,2,10,66,53,13,2,0,0,0,3,22,23,7,0,0,0,0,1,21,7,0,0,0,0,0,0,0,2,0,0,0,0,1
0.002009522,0.264661424,7.33812642,0,0,0,0,0,0,0,2,0,0,0,0,0,0,22,13,0,0,0,0,0,1,61,6,0,0,0,0,0,12,28,1,18,0,0,0,0,0,0,14,94,1,0,0,0,2,105,157,8,0,0,0,2,48,157,50,0,0,0,0,58,130,103,1,43,4,0,0,0,0,0,2,157,37,0,0,1,3,14,52,78,7,0,0,34,80,61,20,0,0,0,0,157,97,13,0,22,4,0,0,0,0,0,0,157,52,0,0,0,0,0,0,110,15,0,0,53,19,0,2,0,0,0,1,157,36,0,0,1
0.000260817,0.004473376,13.97756295,1,0,0,0,0,0,0,0,140,12,0,0,0,0,0,2,168,30,0,2,14,3,8,26,22,3,0,20,138,34,15,18,0,0,0,0,0,0,0,0,148,13,0,0,0,0,0,4,168,69,1,2,10,6,2,35,29,15,4,22,89,62,8,10,0,0,0,0,0,0,0,0,155,8,0,0,0,0,0,10,168,43,2,6,13,8,6,83,16,8,4,30,75,33,12,11,0,0,0,0,0,0,0,0,115,10,0,0,0,0,0,0,168,69,10,13,4,0,0,1,13,10,13,49,22,12,11,3,1
0.001163544,0.088740144,10.17893436,58,41,1,0,0,0,0,0,115,132,132,15,0,0,3,6,3,14,132,102,2,8,8,2,0,11,132,25,1,3,8,0,22,11,0,0,0,0,0,2,131,45,33,4,2,5,26,87,16,7,50,25,14,81,101,37,2,2,40,8,2,20,132,17,23,4,0,0,0,0,0,1,132,89,28,18,2,1,2,13,23,80,94,68,10,11,16,12,6,50,111,33,1,4,43,10,5,2,0,0,0,0,0,0,56,38,11,4,0,0,7,25,19,24,29,14,1,34,79,28,0,13,54,13,1,27,72,6,1
0.002640224,0.456852371,5.169426394,53,31,1,1,125,54,0,0,125,86,2,1,70,48,1,1,4,2,1,0,125,81,0,0,0,0,0,0,2,1,0,0,51,24,3,17,125,90,1,2,125,57,9,6,64,36,3,12,28,6,9,17,125,104,2,4,0,0,0,1,22,6,0,0,33,23,28,63,125,30,0,6,86,103,118,34,47,9,0,3,8,21,125,108,105,11,0,1,0,0,1,13,19,2,0,0,2,11,66,54,13,2,0,0,0,3,22,23,7,0,0,0,0,1,21,7,0,0,0,0,0,0,0,2,0,0,0,0,1
0.001096993,0.078880847,10.80410228,0,0,0,0,0,0,1,2,0,0,0,0,0,0,24,9,0,0,0,0,0,0,53,6,0,0,0,0,0,0,49,37,22,0,0,0,0,0,8,22,99,1,0,0,0,4,154,164,9,0,0,0,2,18,172,67,3,0,0,0,1,7,172,131,61,4,0,0,1,1,2,4,172,19,0,0,8,6,19,52,102,6,0,1,60,29,69,34,37,8,1,3,24,11,44,24,42,3,0,1,1,0,0,0,172,38,1,1,7,2,0,1,101,16,11,9,58,19,0,8,33,10,14,9,35,3,0,4,1
0.000843582,0.046652684,11.52252852,43,0,0,0,0,0,0,3,158,0,0,0,0,0,1,70,99,0,0,0,0,0,4,148,54,0,0,1,30,2,6,46,67,0,0,0,0,0,0,2,158,5,1,0,0,0,0,61,136,22,8,0,0,0,0,78,63,11,0,3,42,0,0,5,71,2,0,0,0,0,0,0,158,49,4,0,0,0,0,3,150,65,21,0,0,0,0,2,86,10,0,2,40,2,0,1,50,1,0,0,0,0,0,0,158,40,0,0,0,0,0,0,146,56,1,0,0,0,0,0,71,19,0,11,24,0,0,0,1
0.001805624,0.213680948,8.246687195,0,0,0,0,0,0,0,2,8,0,0,0,0,0,16,24,141,1,0,0,0,0,15,72,141,17,1,0,0,0,0,19,19,0,0,0,0,0,0,13,97,1,0,0,0,0,76,141,51,0,0,0,1,6,141,141,49,9,0,0,3,12,24,44,41,5,0,0,0,0,0,2,141,60,1,0,0,0,7,53,93,28,19,6,10,12,44,46,3,2,9,6,23,26,12,5,13,5,0,0,0,0,0,0,141,141,29,0,0,0,0,0,33,90,141,16,1,0,0,0,8,93,100,9,4,1,1,2,1
